isin,instrumentsubtype,country,businessline,signoffgroup,portfolionumber,counterpartycode,asset_or_liability,amount
DE0000002768,Corp Bond,SG,Fixed Income,Product Control FI,PTF_583,CP_1519,Liability,20446302.46
GB0000002778,Option,CH,Structured Products,Risk Management,PTF_990,CP_7184,Liability,4017098.38
FR0000002788,Equity,NL,FX & Commodities,Product Control FI,PTF_282,CP_9802,Liability,26444482.76
GB0000002798,Govt Bond,IE,Fixed Income,Treasury Control,PTF_574,CP_9920,Liability,26599020.76
GB0000002808,FX Forward,AU,FX & Commodities,Product Control EQ,PTF_382,CP_4088,Asset,1615704.66
JP0000002818,Future,IE,Fixed Income,Product Control EQ,PTF_311,CP_2102,Asset,29699237.65
JP0000002828,Future,NL,Wealth Management,Product Control FI,PTF_350,CP_1724,Liability,21950945.76
FR0000002838,FX Forward,IE,Fixed Income,Product Control EQ,PTF_615,CP_5739,Asset,40790233.91
FR0000002848,CDS,HK,Treasury,Treasury Control,PTF_342,CP_5944,Asset,49284849.56
FR0000002858,FX Forward,CA,FX & Commodities,Treasury Control,PTF_162,CP_3869,Liability,27794754.05
US0000002868,CDS,NL,Wealth Management,Risk Management,PTF_904,CP_9592,Liability,34816938.82
JP0000002878,Equity,JP,Structured Products,Product Control EQ,PTF_872,CP_9813,Liability,12052204.61
GB0000002888,IRS Swap,IT,Wealth Management,Product Control EQ,PTF_925,CP_8586,Asset,28121485.55
JP0000002898,Commercial Paper,SG,Equities,Risk Management,PTF_348,CP_5177,Asset,16516498.37
US0000002908,Repo,IT,FX & Commodities,Product Control FI,PTF_648,CP_4120,Asset,13426737.08
FR0000002918,Future,US,Fixed Income,Product Control EQ,PTF_923,CP_4555,Liability,10448409.98
DE0000002928,IRS Swap,ES,Fixed Income,Product Control EQ,PTF_294,CP_2922,Liability,45722492.63
FR0000002938,FX Forward,CA,Equities,Operations Signoff,PTF_429,CP_5637,Liability,23315191.79
DE0000002948,IRS Swap,JP,FX & Commodities,Operations Signoff,PTF_609,CP_8635,Asset,40141817.01
JP0000002958,CDS,ES,Equities,Treasury Control,PTF_420,CP_7781,Asset,28128423.75
GB0000002968,Equity,US,FX & Commodities,Operations Signoff,PTF_698,CP_7841,Liability,7624808.45
DE0000002978,FX Forward,CA,Treasury,Product Control EQ,PTF_611,CP_6530,Liability,38169214.48
JP0000002988,Repo,AU,Equities,Treasury Control,PTF_273,CP_3293,Liability,9206468.4
FR0000002998,Govt Bond,SG,Fixed Income,Product Control FI,PTF_937,CP_1794,Asset,20622549.16
GB0000003008,Corp Bond,LU,Equities,Product Control FI,PTF_323,CP_9285,Liability,18663168.63
FR0000003018,Future,ES,Structured Products,Risk Management,PTF_116,CP_1108,Liability,597489.15
FR0000003028,IRS Swap,SG,FX & Commodities,Product Control FI,PTF_614,CP_8054,Asset,5355286.35
US0000003038,Commercial Paper,DE,Equities,Product Control EQ,PTF_734,CP_9625,Liability,40761643.46
DE0000003048,Option,GB,FX & Commodities,Risk Management,PTF_570,CP_4984,Asset,15002232.14
US0000003058,Govt Bond,GB,Structured Products,Risk Management,PTF_486,CP_8798,Asset,31839220.04
GB0000003068,Corp Bond,AU,Structured Products,Treasury Control,PTF_679,CP_2562,Asset,11492176.02
FR0000003078,Repo,JP,Fixed Income,Product Control FI,PTF_800,CP_5593,Asset,8971828.39
DE0000003088,Govt Bond,FR,Treasury,Product Control EQ,PTF_870,CP_7525,Asset,14967348.09
FR0000003098,FX Forward,HK,Structured Products,Operations Signoff,PTF_439,CP_7288,Asset,39525951.77
US0000003108,Commercial Paper,LU,FX & Commodities,Product Control FI,PTF_200,CP_8161,Asset,41934539.51
DE0000003118,Future,IE,Treasury,Operations Signoff,PTF_506,CP_6347,Asset,31707976.76
JP0000003128,Repo,FR,FX & Commodities,Operations Signoff,PTF_484,CP_8075,Asset,33986344.43
JP0000003138,Corp Bond,IE,Treasury,Treasury Control,PTF_917,CP_5037,Asset,4106490.29
GB0000003148,Option,LU,Wealth Management,Product Control EQ,PTF_857,CP_7383,Liability,18038207.9
US0000003158,Govt Bond,JP,Structured Products,Treasury Control,PTF_879,CP_5419,Asset,6629687.69
GB0000003168,Option,AU,Treasury,Operations Signoff,PTF_624,CP_7685,Asset,1317963.89
DE0000003178,Commercial Paper,GB,Treasury,Operations Signoff,PTF_903,CP_6315,Liability,621969.04
JP0000003188,Option,IE,Fixed Income,Operations Signoff,PTF_348,CP_9537,Asset,34267373.01
GB0000003198,Equity,JP,FX & Commodities,Treasury Control,PTF_604,CP_3390,Asset,8364534.0
DE0000003208,Option,JP,Structured Products,Product Control FI,PTF_469,CP_5123,Asset,36046368.13
JP0000003218,Future,HK,Equities,Risk Management,PTF_209,CP_3219,Liability,343334.63
JP0000003228,CDS,IT,Treasury,Risk Management,PTF_923,CP_6399,Liability,16740137.51
FR0000003238,Equity,JP,FX & Commodities,Operations Signoff,PTF_811,CP_4290,Liability,15712593.14
JP0000003248,CDS,JP,Wealth Management,Risk Management,PTF_689,CP_4971,Liability,18805884.84
JP0000003258,CDS,GB,Treasury,Product Control EQ,PTF_706,CP_9939,Asset,34087223.09
FR0000003268,Govt Bond,LU,Structured Products,Product Control EQ,PTF_548,CP_5773,Asset,40949183.57
JP0000003278,Repo,DE,Wealth Management,Treasury Control,PTF_347,CP_5139,Asset,35763243.38
JP0000003288,Corp Bond,AU,Treasury,Risk Management,PTF_696,CP_7566,Liability,27184541.94
DE0000003298,Commercial Paper,HK,Wealth Management,Product Control FI,PTF_211,CP_5067,Liability,8321092.97
FR0000003308,Govt Bond,HK,Wealth Management,Risk Management,PTF_870,CP_6432,Liability,5301697.86
US0000003318,IRS Swap,FR,Treasury,Operations Signoff,PTF_671,CP_4621,Liability,18709107.79
JP0000003328,Future,LU,Treasury,Product Control EQ,PTF_453,CP_1402,Liability,5231945.15
JP0000003338,Corp Bond,GB,Wealth Management,Product Control EQ,PTF_456,CP_6110,Liability,22769355.1
GB0000003348,Commercial Paper,AU,FX & Commodities,Risk Management,PTF_199,CP_8178,Liability,15948879.16
DE0000003358,Govt Bond,IE,Wealth Management,Product Control FI,PTF_123,CP_6620,Asset,33858580.95
GB0000003368,FX Forward,SG,Equities,Operations Signoff,PTF_263,CP_6422,Liability,47923338.77
GB0000003378,Option,NL,Equities,Product Control EQ,PTF_755,CP_8080,Liability,1464467.76
FR0000003388,FX Forward,AU,Treasury,Risk Management,PTF_498,CP_1072,Asset,10293195.05
US0000003398,Future,GB,Treasury,Product Control EQ,PTF_474,CP_6340,Asset,22880233.36
DE0000003408,Repo,SG,Wealth Management,Treasury Control,PTF_711,CP_7367,Liability,29352300.7
DE0000003418,CDS,IT,Structured Products,Operations Signoff,PTF_276,CP_5873,Asset,33607143.54
DE0000003428,Corp Bond,FR,FX & Commodities,Product Control FI,PTF_287,CP_7116,Asset,25543689.35
JP0000003438,Future,DE,Treasury,Risk Management,PTF_533,CP_4043,Liability,31776904.59
GB0000003448,Commercial Paper,DE,Structured Products,Treasury Control,PTF_243,CP_4065,Liability,42100050.78
FR0000003458,Govt Bond,IT,FX & Commodities,Product Control FI,PTF_596,CP_3236,Asset,40761720.95
FR0000003468,Commercial Paper,NL,Structured Products,Risk Management,PTF_801,CP_9056,Liability,35508567.93
JP0000003478,Repo,DE,Fixed Income,Operations Signoff,PTF_131,CP_4613,Liability,1639590.87
GB0000003488,Commercial Paper,JP,Equities,Risk Management,PTF_679,CP_9115,Asset,28637839.13
DE0000003498,Commercial Paper,IT,FX & Commodities,Operations Signoff,PTF_942,CP_1681,Liability,27319931.97
JP0000003508,Corp Bond,LU,Wealth Management,Product Control EQ,PTF_404,CP_1528,Liability,13144447.16
US0000003518,Repo,IT,Fixed Income,Product Control EQ,PTF_314,CP_6744,Liability,8303250.98
GB0000003528,FX Forward,IT,Equities,Product Control FI,PTF_683,CP_6747,Liability,29844900.01
GB0000003538,CDS,LU,FX & Commodities,Treasury Control,PTF_686,CP_5380,Asset,6783767.38
JP0000003548,Govt Bond,JP,Wealth Management,Product Control EQ,PTF_818,CP_3174,Asset,7316440.95
DE0000003558,FX Forward,IE,Wealth Management,Risk Management,PTF_601,CP_3329,Liability,31392501.97
JP0000003568,Repo,GB,Wealth Management,Product Control FI,PTF_512,CP_9447,Liability,34736707.27
DE0000003578,Repo,AU,FX & Commodities,Operations Signoff,PTF_102,CP_2526,Liability,31743853.07
DE0000003588,Corp Bond,IE,Treasury,Risk Management,PTF_323,CP_8039,Asset,24738273.8
DE0000003598,IRS Swap,CH,Treasury,Operations Signoff,PTF_233,CP_8951,Liability,44708262.13
US0000003608,Govt Bond,GB,Wealth Management,Risk Management,PTF_116,CP_3035,Asset,22067091.01
US0000003618,Option,FR,Wealth Management,Product Control EQ,PTF_765,CP_5945,Asset,43721796.35
DE0000003628,Corp Bond,NL,FX & Commodities,Treasury Control,PTF_184,CP_7092,Asset,2594104.82
DE0000003638,FX Forward,CA,Wealth Management,Product Control FI,PTF_820,CP_2559,Asset,10674991.74
US0000003648,Equity,HK,Equities,Operations Signoff,PTF_796,CP_8291,Asset,408088.14
DE0000003658,Corp Bond,IT,Structured Products,Product Control EQ,PTF_589,CP_2160,Asset,19156580.93
US0000003668,Corp Bond,CH,FX & Commodities,Treasury Control,PTF_240,CP_7270,Asset,32080599.55
GB0000003678,Corp Bond,SG,Treasury,Product Control FI,PTF_724,CP_3688,Liability,17562630.0
GB0000003688,Equity,ES,Structured Products,Operations Signoff,PTF_803,CP_8248,Asset,4338968.23
US0000003698,Equity,IE,Fixed Income,Operations Signoff,PTF_847,CP_7291,Liability,48162619.28
DE0000003708,Equity,FR,FX & Commodities,Product Control FI,PTF_354,CP_5668,Asset,42395365.76
DE0000003718,FX Forward,SG,Treasury,Operations Signoff,PTF_293,CP_7418,Liability,32310257.88
GB0000003728,Repo,CA,Fixed Income,Product Control EQ,PTF_611,CP_2163,Asset,49344192.23
DE0000003738,Equity,CA,Treasury,Risk Management,PTF_474,CP_9951,Asset,38137483.27
US0000003748,Govt Bond,HK,Fixed Income,Product Control FI,PTF_368,CP_4534,Asset,46129351.55
JP0000003758,Commercial Paper,JP,Wealth Management,Operations Signoff,PTF_885,CP_7806,Liability,35092022.88
US0000003768,Commercial Paper,SG,Treasury,Product Control EQ,PTF_384,CP_2369,Liability,3955682.99
GB0000003778,Equity,SG,FX & Commodities,Risk Management,PTF_700,CP_2083,Liability,34935300.7
GB0000003788,Govt Bond,FR,Fixed Income,Risk Management,PTF_218,CP_8428,Asset,15467956.74
GB0000003798,Corp Bond,US,Wealth Management,Product Control EQ,PTF_818,CP_1185,Asset,24823164.56
DE0000003808,Commercial Paper,SG,Wealth Management,Treasury Control,PTF_270,CP_7092,Asset,37490070.32
DE0000003818,Corp Bond,IE,Fixed Income,Treasury Control,PTF_926,CP_8034,Liability,26195091.3
DE0000003828,Future,NL,Fixed Income,Risk Management,PTF_566,CP_9368,Liability,2776678.35
FR0000003838,Equity,CH,Equities,Treasury Control,PTF_891,CP_2685,Asset,11424079.14
FR0000003848,Govt Bond,US,Fixed Income,Product Control EQ,PTF_147,CP_8729,Liability,19152058.82
GB0000003858,Equity,ES,Fixed Income,Operations Signoff,PTF_922,CP_7870,Asset,16093491.71
JP0000003868,CDS,JP,Fixed Income,Operations Signoff,PTF_481,CP_2956,Asset,8971320.79
FR0000003878,Govt Bond,CA,Fixed Income,Risk Management,PTF_986,CP_5625,Liability,16368409.58
FR0000003888,Repo,US,FX & Commodities,Product Control EQ,PTF_398,CP_5979,Asset,23199014.9
FR0000003898,Repo,IE,Equities,Operations Signoff,PTF_878,CP_5016,Asset,323862.25
JP0000003908,Govt Bond,FR,Treasury,Treasury Control,PTF_751,CP_1157,Liability,78094.72
JP0000003918,IRS Swap,GB,Equities,Operations Signoff,PTF_343,CP_7878,Liability,48059447.12
GB0000003928,IRS Swap,GB,Fixed Income,Product Control EQ,PTF_965,CP_9515,Liability,35043841.25
DE0000003938,Repo,LU,Fixed Income,Operations Signoff,PTF_197,CP_9280,Asset,31862597.92
JP0000003948,Corp Bond,HK,Treasury,Product Control FI,PTF_545,CP_3141,Asset,14587342.82
DE0000003958,Option,LU,Wealth Management,Treasury Control,PTF_425,CP_8417,Liability,11684393.28
GB0000003968,Equity,IE,Treasury,Product Control FI,PTF_259,CP_2731,Asset,22481089.55
DE0000003978,Option,GB,Treasury,Treasury Control,PTF_888,CP_4401,Liability,15418844.37
DE0000003988,Corp Bond,GB,Equities,Treasury Control,PTF_946,CP_1660,Asset,41797057.93
DE0000003998,Equity,GB,Wealth Management,Product Control EQ,PTF_464,CP_7492,Asset,33860782.93
DE0000004008,Equity,US,Structured Products,Risk Management,PTF_669,CP_5093,Asset,23104852.23
GB0000004018,Corp Bond,US,Fixed Income,Product Control EQ,PTF_233,CP_4246,Liability,18615125.99
US0000004028,Future,HK,FX & Commodities,Product Control FI,PTF_122,CP_2056,Asset,45125291.62
JP0000004038,Equity,GB,FX & Commodities,Product Control FI,PTF_143,CP_8552,Asset,8403620.49
FR0000004048,Option,IT,Wealth Management,Risk Management,PTF_608,CP_1483,Liability,34162229.77
GB0000004058,CDS,FR,Equities,Treasury Control,PTF_386,CP_8307,Asset,1737298.94
FR0000004068,Future,FR,Wealth Management,Treasury Control,PTF_610,CP_7750,Liability,3053648.55
DE0000004078,Option,DE,Structured Products,Product Control EQ,PTF_758,CP_9614,Asset,31539565.67
FR0000004088,Govt Bond,CA,Wealth Management,Treasury Control,PTF_591,CP_9921,Liability,17204985.82
FR0000004098,Commercial Paper,CH,Structured Products,Treasury Control,PTF_284,CP_1427,Liability,29857832.06
US0000004108,IRS Swap,US,Structured Products,Operations Signoff,PTF_466,CP_4813,Asset,5011216.19
GB0000004118,IRS Swap,SG,Wealth Management,Product Control FI,PTF_882,CP_4594,Liability,17743457.71
GB0000004128,Equity,FR,Treasury,Treasury Control,PTF_925,CP_6878,Asset,35174126.88
DE0000004138,Future,HK,Equities,Operations Signoff,PTF_292,CP_9064,Liability,8781960.6
US0000004148,Corp Bond,US,Equities,Operations Signoff,PTF_324,CP_1326,Liability,39171.4
FR0000004158,FX Forward,IE,Equities,Treasury Control,PTF_834,CP_3907,Liability,2982500.36
GB0000004168,Future,LU,Equities,Product Control FI,PTF_966,CP_9622,Liability,48028134.72
DE0000004178,Option,HK,Fixed Income,Treasury Control,PTF_409,CP_6285,Asset,48793154.27
JP0000004188,Repo,NL,FX & Commodities,Product Control EQ,PTF_824,CP_6846,Asset,33278255.82
GB0000004198,Option,JP,Wealth Management,Treasury Control,PTF_230,CP_3911,Asset,47439661.27
FR0000004208,Option,IT,Treasury,Product Control FI,PTF_286,CP_6213,Asset,31984140.41
US0000004218,Repo,DE,FX & Commodities,Product Control FI,PTF_343,CP_6682,Liability,8398531.4
US0000004228,CDS,AU,Fixed Income,Treasury Control,PTF_314,CP_5088,Asset,17527305.69
US0000004238,Govt Bond,US,Structured Products,Risk Management,PTF_850,CP_7875,Asset,44228177.12
JP0000004248,Option,CH,Treasury,Risk Management,PTF_203,CP_8855,Asset,8137012.3
US0000004258,Govt Bond,JP,Fixed Income,Treasury Control,PTF_367,CP_2715,Asset,17093701.02
JP0000004268,Equity,LU,Fixed Income,Operations Signoff,PTF_195,CP_6536,Liability,35226709.81
JP0000004278,Equity,HK,Structured Products,Product Control EQ,PTF_154,CP_2659,Liability,10281496.08
GB0000004288,Option,LU,Treasury,Operations Signoff,PTF_371,CP_5612,Liability,11881226.51
US0000004298,Option,HK,Treasury,Risk Management,PTF_257,CP_1893,Liability,195759.53
US0000004308,IRS Swap,IT,Wealth Management,Operations Signoff,PTF_591,CP_4271,Asset,1291655.96
GB0000004318,IRS Swap,GB,Structured Products,Product Control FI,PTF_415,CP_7512,Liability,24457395.12
DE0000004328,Corp Bond,NL,Treasury,Risk Management,PTF_289,CP_7078,Liability,18473236.24
JP0000004338,Govt Bond,JP,Structured Products,Risk Management,PTF_369,CP_4706,Liability,28214508.16
GB0000004348,Corp Bond,GB,Wealth Management,Treasury Control,PTF_927,CP_9871,Liability,48535423.33
FR0000004358,FX Forward,SG,Fixed Income,Risk Management,PTF_938,CP_9561,Liability,48281557.07
JP0000004368,Future,ES,Equities,Risk Management,PTF_406,CP_2293,Liability,45139346.18
US0000004378,Commercial Paper,HK,Treasury,Operations Signoff,PTF_793,CP_3415,Asset,47462994.55
JP0000004388,Equity,DE,Equities,Product Control EQ,PTF_229,CP_1699,Liability,3923034.26
JP0000004398,FX Forward,IT,Wealth Management,Product Control EQ,PTF_954,CP_5225,Liability,45540670.26
US0000004408,Corp Bond,CA,Treasury,Risk Management,PTF_665,CP_6343,Liability,25986810.44
US0000004418,Future,HK,Treasury,Risk Management,PTF_215,CP_7790,Asset,7414246.07
FR0000004428,Future,IE,Fixed Income,Product Control FI,PTF_676,CP_2654,Liability,43374426.01
DE0000004438,Option,JP,Structured Products,Risk Management,PTF_685,CP_8750,Asset,8614125.41
JP0000004448,Equity,HK,Treasury,Risk Management,PTF_139,CP_7484,Liability,34527235.14
US0000004458,Repo,ES,FX & Commodities,Treasury Control,PTF_120,CP_6535,Liability,15550910.15
JP0000004468,Corp Bond,IT,Equities,Product Control EQ,PTF_407,CP_8259,Liability,13474651.95
JP0000004478,Future,NL,Fixed Income,Product Control EQ,PTF_552,CP_4463,Liability,37048535.22
FR0000004488,CDS,IT,Fixed Income,Operations Signoff,PTF_910,CP_3604,Asset,15559599.05
FR0000004498,Option,DE,Treasury,Operations Signoff,PTF_129,CP_3846,Asset,43759651.9
GB0000004508,Govt Bond,FR,Fixed Income,Risk Management,PTF_151,CP_6904,Asset,13702505.04
JP0000004518,Commercial Paper,CA,Wealth Management,Product Control FI,PTF_797,CP_1500,Asset,18626475.74
FR0000004528,Repo,DE,Structured Products,Operations Signoff,PTF_664,CP_6730,Liability,8179863.16
DE0000004538,Corp Bond,JP,Fixed Income,Risk Management,PTF_150,CP_3669,Asset,42856273.82
GB0000004548,FX Forward,JP,Wealth Management,Risk Management,PTF_625,CP_1328,Asset,23707489.84
GB0000004558,Equity,HK,Fixed Income,Product Control EQ,PTF_358,CP_6004,Liability,21193221.0
JP0000004568,CDS,AU,FX & Commodities,Product Control EQ,PTF_577,CP_5950,Liability,29226435.36
US0000004578,Commercial Paper,NL,FX & Commodities,Operations Signoff,PTF_762,CP_5631,Liability,34222234.73
JP0000004588,Corp Bond,CH,FX & Commodities,Treasury Control,PTF_982,CP_5536,Liability,32807699.66
DE0000004598,FX Forward,DE,Treasury,Product Control EQ,PTF_158,CP_7620,Liability,34039383.74
US0000004608,Repo,JP,FX & Commodities,Risk Management,PTF_514,CP_7361,Asset,29153270.0
FR0000004618,FX Forward,CH,Wealth Management,Product Control EQ,PTF_802,CP_9759,Liability,45326792.64
DE0000004628,Commercial Paper,JP,Equities,Operations Signoff,PTF_285,CP_5813,Asset,23541689.73
DE0000004638,Commercial Paper,IE,Equities,Treasury Control,PTF_770,CP_2463,Asset,17767393.39
DE0000004648,Option,IE,FX & Commodities,Treasury Control,PTF_366,CP_5817,Liability,42561438.34
JP0000004658,Govt Bond,IT,Wealth Management,Operations Signoff,PTF_694,CP_2166,Liability,44471855.94
FR0000004668,Corp Bond,IT,Wealth Management,Risk Management,PTF_642,CP_5888,Liability,2707828.22
GB0000004678,Equity,FR,FX & Commodities,Risk Management,PTF_683,CP_8496,Asset,15822590.97
GB0000004688,Corp Bond,AU,FX & Commodities,Product Control EQ,PTF_420,CP_1950,Asset,22605401.16
GB0000004698,Equity,HK,Equities,Risk Management,PTF_904,CP_2442,Asset,30725914.54
JP0000004708,Option,CA,Structured Products,Risk Management,PTF_104,CP_1618,Asset,36534300.23
US0000004718,CDS,IE,Treasury,Product Control EQ,PTF_118,CP_1067,Asset,11317154.24
DE0000004728,IRS Swap,DE,Fixed Income,Risk Management,PTF_615,CP_6015,Asset,3269024.69
US0000004738,IRS Swap,JP,Structured Products,Operations Signoff,PTF_710,CP_9587,Liability,21686093.18
GB0000004748,CDS,ES,Structured Products,Treasury Control,PTF_868,CP_4087,Asset,47404477.26
JP0000004758,Govt Bond,FR,Equities,Product Control EQ,PTF_316,CP_1359,Asset,6162483.28
US0000004768,Option,ES,Wealth Management,Treasury Control,PTF_889,CP_9761,Asset,29698233.77
US0000004778,Corp Bond,NL,Fixed Income,Product Control FI,PTF_806,CP_2897,Liability,22218492.88
US0000004788,Commercial Paper,JP,Structured Products,Product Control EQ,PTF_310,CP_1152,Liability,21046468.46
US0000004798,Commercial Paper,JP,Treasury,Operations Signoff,PTF_817,CP_3247,Liability,41533482.76
US0000004808,Commercial Paper,LU,Treasury,Product Control FI,PTF_389,CP_2867,Asset,24889464.46
FR0000004818,FX Forward,IE,FX & Commodities,Operations Signoff,PTF_306,CP_6864,Liability,14771083.29
US0000004828,Commercial Paper,AU,Equities,Risk Management,PTF_438,CP_4842,Asset,642406.32
US0000004838,Corp Bond,IT,Treasury,Risk Management,PTF_252,CP_2475,Asset,36179563.03
US0000004848,IRS Swap,NL,Equities,Risk Management,PTF_403,CP_5327,Liability,2508759.39
GB0000004858,Govt Bond,IT,FX & Commodities,Treasury Control,PTF_920,CP_6123,Liability,36928317.09
US0000004868,Govt Bond,US,Equities,Product Control EQ,PTF_436,CP_6857,Liability,47754682.38
DE0000004878,Corp Bond,CH,FX & Commodities,Product Control EQ,PTF_216,CP_7566,Liability,48115684.96
DE0000004888,Option,LU,Structured Products,Risk Management,PTF_764,CP_3732,Asset,6629916.25
US0000004898,Equity,GB,Structured Products,Operations Signoff,PTF_594,CP_8178,Asset,30568101.3
DE0000004908,Future,US,Wealth Management,Product Control EQ,PTF_594,CP_8997,Asset,44380258.43
JP0000004918,Govt Bond,GB,FX & Commodities,Treasury Control,PTF_112,CP_9598,Asset,48894888.4
DE0000004928,Commercial Paper,SG,Wealth Management,Operations Signoff,PTF_197,CP_8091,Asset,24099074.22
JP0000004938,Equity,IT,Treasury,Operations Signoff,PTF_155,CP_1190,Asset,25280850.76
JP0000004948,Repo,IT,Equities,Product Control FI,PTF_869,CP_9055,Liability,12048386.38
DE0000004958,Govt Bond,SG,Equities,Operations Signoff,PTF_758,CP_7203,Liability,40856079.77
US0000004968,Repo,AU,Treasury,Risk Management,PTF_190,CP_9166,Liability,15806496.06
JP0000004978,Govt Bond,GB,Structured Products,Risk Management,PTF_136,CP_9996,Asset,41296308.38
FR0000004988,Future,NL,FX & Commodities,Operations Signoff,PTF_675,CP_4389,Liability,47518004.72
DE0000004998,Govt Bond,IT,Equities,Risk Management,PTF_439,CP_8751,Liability,35797095.45
US0000005008,Corp Bond,IE,Wealth Management,Product Control EQ,PTF_102,CP_6592,Liability,41495044.86
DE0000005018,Commercial Paper,SG,FX & Commodities,Product Control FI,PTF_146,CP_3689,Liability,7026757.12
JP0000005028,Corp Bond,JP,Treasury,Product Control EQ,PTF_292,CP_2978,Liability,10783397.27
GB0000005038,CDS,GB,Structured Products,Product Control FI,PTF_748,CP_3018,Liability,22872106.91
FR0000005048,Commercial Paper,DE,Structured Products,Product Control FI,PTF_643,CP_1795,Liability,41941611.45
JP0000005058,Commercial Paper,IE,Equities,Operations Signoff,PTF_277,CP_3103,Asset,19373341.93
FR0000005068,Future,ES,FX & Commodities,Operations Signoff,PTF_493,CP_7859,Asset,13683426.02
DE0000005078,IRS Swap,AU,Equities,Product Control EQ,PTF_522,CP_9393,Liability,42154506.19
FR0000005088,CDS,LU,Wealth Management,Operations Signoff,PTF_747,CP_4560,Asset,10489586.25
DE0000005098,CDS,ES,Wealth Management,Product Control EQ,PTF_827,CP_3913,Liability,35519084.59
DE0000005108,Commercial Paper,AU,Treasury,Operations Signoff,PTF_783,CP_7839,Liability,43874474.36
JP0000005118,Govt Bond,SG,Fixed Income,Product Control FI,PTF_490,CP_3381,Asset,33514357.67
GB0000005128,IRS Swap,IE,Equities,Treasury Control,PTF_799,CP_5105,Asset,41969893.81
DE0000005138,FX Forward,IE,Treasury,Product Control FI,PTF_467,CP_8415,Asset,30807361.14
FR0000005148,FX Forward,LU,Wealth Management,Operations Signoff,PTF_498,CP_4892,Liability,34648339.08
US0000005158,Option,CA,Structured Products,Treasury Control,PTF_665,CP_1881,Asset,37184779.96
GB0000005168,Future,IT,Structured Products,Product Control EQ,PTF_748,CP_7025,Asset,38808456.52
GB0000005178,IRS Swap,AU,Equities,Product Control FI,PTF_291,CP_3847,Asset,18863025.36
JP0000005188,IRS Swap,SG,FX & Commodities,Product Control EQ,PTF_264,CP_5178,Asset,16531486.62
GB0000005198,Govt Bond,DE,FX & Commodities,Operations Signoff,PTF_152,CP_5934,Liability,39496459.58
FR0000005208,CDS,GB,Wealth Management,Treasury Control,PTF_638,CP_4603,Asset,26032711.34
FR0000005218,Equity,CA,Treasury,Operations Signoff,PTF_513,CP_2506,Liability,11063798.06
GB0000005228,CDS,CH,FX & Commodities,Treasury Control,PTF_323,CP_9691,Liability,49831570.97
US0000005238,Corp Bond,NL,FX & Commodities,Risk Management,PTF_346,CP_4994,Asset,34129155.28
DE0000005248,Option,ES,Fixed Income,Risk Management,PTF_362,CP_9851,Liability,1240162.96
FR0000005258,CDS,SG,Treasury,Risk Management,PTF_598,CP_1718,Liability,44914589.04
GB0000005268,CDS,SG,Fixed Income,Product Control FI,PTF_271,CP_9814,Asset,31348519.13
GB0000005278,FX Forward,IT,Wealth Management,Risk Management,PTF_955,CP_2702,Asset,26890021.93
JP0000005288,Corp Bond,LU,Wealth Management,Product Control EQ,PTF_124,CP_8523,Liability,1899126.31
US0000005298,Govt Bond,DE,FX & Commodities,Operations Signoff,PTF_172,CP_4729,Liability,20384600.76
JP0000005308,Option,CA,FX & Commodities,Product Control FI,PTF_498,CP_2938,Asset,32072930.21
FR0000005318,Corp Bond,IE,Wealth Management,Operations Signoff,PTF_146,CP_2189,Liability,46402747.27
US0000005328,IRS Swap,IE,Wealth Management,Treasury Control,PTF_721,CP_2417,Liability,38264885.68
JP0000005338,Option,CA,Wealth Management,Product Control FI,PTF_585,CP_3561,Asset,6823391.11
JP0000005348,Commercial Paper,JP,Wealth Management,Product Control EQ,PTF_405,CP_7113,Asset,27678441.77
FR0000005358,Equity,GB,Fixed Income,Product Control FI,PTF_686,CP_7456,Asset,15238034.16
DE0000005368,FX Forward,CA,Wealth Management,Operations Signoff,PTF_245,CP_3637,Asset,11043294.53
DE0000005378,FX Forward,GB,Equities,Operations Signoff,PTF_972,CP_1891,Liability,32235502.32
US0000005388,IRS Swap,NL,Fixed Income,Treasury Control,PTF_200,CP_4234,Liability,47577237.62
DE0000005398,Equity,NL,Wealth Management,Product Control EQ,PTF_202,CP_5671,Asset,45006428.95
DE0000005408,Repo,AU,FX & Commodities,Operations Signoff,PTF_775,CP_6008,Asset,28279772.64
DE0000005418,CDS,CA,Equities,Product Control FI,PTF_420,CP_5033,Asset,35611395.37
JP0000005428,IRS Swap,IT,FX & Commodities,Product Control EQ,PTF_795,CP_6432,Liability,23145104.56
DE0000005438,IRS Swap,AU,Treasury,Product Control FI,PTF_279,CP_2343,Liability,42936389.2
GB0000005448,Commercial Paper,FR,FX & Commodities,Product Control FI,PTF_844,CP_2235,Asset,42480115.71
US0000005458,Future,HK,Structured Products,Operations Signoff,PTF_317,CP_1600,Liability,27175748.85
FR0000005468,Repo,NL,Equities,Treasury Control,PTF_501,CP_4658,Liability,6698393.57
FR0000005478,Commercial Paper,GB,Structured Products,Treasury Control,PTF_614,CP_1173,Asset,42399852.1
FR0000005488,Equity,IE,Treasury,Product Control EQ,PTF_556,CP_3608,Asset,28320030.94
FR0000005498,Equity,LU,Wealth Management,Risk Management,PTF_467,CP_1662,Asset,38074811.53
GB0000005508,Corp Bond,JP,FX & Commodities,Product Control EQ,PTF_143,CP_4387,Liability,19407715.03
